SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540743,GODREJAGRO  ,A ,Q,492.80,505.00,491.25,503.35,504.95,492.60,1038,22633,11274136.00,
540744,MESCON      ,Z ,Q,9.24,9.24,9.24,9.24,9.24,9.42,8,219,2023.00,
540749,MASFIN      ,A ,Q,893.90,893.90,873.15,877.05,880.15,885.10,216,1237,1089806.00,
540750,IEX         ,A ,Q,273.80,286.00,268.85,270.35,270.35,273.30,5173,283881,79166779.00,
540755,GICRE       ,A ,Q,135.00,138.00,135.00,137.05,137.00,134.80,282,17998,2455135.00,
540757,SCPL        ,M ,Q,169.00,187.20,169.00,181.95,181.50,163.05,42,36000,6431800.00,
540762,TIINDIA     ,A ,Q,920.00,928.00,906.35,921.50,916.65,908.80,468,5065,4653809.00,
540767,NAM-INDIA   ,A ,Q,327.00,330.20,316.00,319.10,319.10,327.45,2188,75792,24415689.00,
540768,MAHLOG      ,A ,Q,492.40,502.15,488.95,494.95,495.00,488.90,419,9269,4603278.00,
540769,NIACL       ,A ,Q,132.00,133.50,128.60,130.95,132.80,131.40,1035,40231,5297606.00,
540774,IFGLEXPOR   ,B ,Q,247.05,247.05,237.80,239.90,240.55,242.05,99,2153,519441.00,
540775,KHADIM      ,B ,Q,145.15,152.70,138.95,142.35,142.35,144.45,1551,67056,9855010.00,
540776,5PAISA      ,B ,Q,269.95,271.05,246.60,252.55,253.25,269.40,1449,23340,5938869.00,
540777,HDFCLIFE    ,A ,Q,710.00,723.85,710.00,719.35,719.35,704.45,6571,274527,197224407.00,
540787,ICICIB22    ,B ,Q,36.68,36.72,36.06,36.49,36.49,36.63,844,144375,5262164.00,
540789,DNAMEDIA    ,B ,Q,0.73,0.76,0.68,0.74,0.75,0.74,32,18313,13270.00,
540795,DYNAMIC     ,B ,Q,29.70,29.85,28.65,28.80,28.75,30.25,36,8597,249346.00,
540796,RATNABHUMI  ,M ,Q,53.25,53.35,47.00,48.00,48.00,48.50,5,12000,591200.00,
540797,SHALBY      ,B ,Q,109.80,110.80,109.00,109.60,109.00,109.55,159,10416,1144236.00,
540798,FSC         ,A ,Q,104.00,104.00,98.65,100.50,100.75,99.05,853,49750,5049123.00,
540809,MRCEXIM     ,M ,Q,3.47,4.08,3.47,4.08,4.08,4.33,3,24000,92320.00,
540824,ASTRON      ,B ,Q,45.45,45.50,43.95,43.95,43.95,43.70,67,4354,192918.00,
540826,NCBFIVCG    ,B ,Q,8.16,8.16,8.16,8.16,8.16,8.16,1,1500,12240.00,
540829,CHANDRIMA   ,XT,Q,4.78,4.78,4.78,4.78,4.78,4.87,17,978,4674.00,
540861,IPRU3018    ,B ,Q,11.94,11.94,11.10,11.32,11.33,11.24,26,50837,575898.00,
540879,APOLLO      ,B ,Q,122.80,122.80,115.75,116.95,117.55,119.55,378,12280,1453018.00,
540900,NEWGEN      ,A ,Q,289.00,289.00,285.45,287.95,287.75,287.55,62,1461,419684.00,
540901,PRAXIS      ,T ,Q,50.75,52.25,49.90,49.90,49.90,52.50,24,828,41599.00,
540902,AMBER       ,A ,Q,2910.00,3017.30,2901.15,2955.10,2955.10,2907.00,2791,18684,55171150.00,
