SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1498.50,1541.00,1439.00,1462.00,1462.00,1480.90,657,7632,11331501.00,
500003,AEGIS LOGIS ,A ,Q,319.50,319.50,302.25,304.30,304.30,315.80,1082,23629,7376825.00,
500008,AMAR RAJA BA,A ,Q,984.00,995.10,964.15,969.25,969.25,978.10,2760,63629,62397298.00,
500009,A.SARABHAI  ,X ,Q,21.00,21.45,20.50,20.60,20.65,21.15,121,50036,1032705.00,
500010,HDFC        ,A ,Q,2755.00,2783.70,2711.00,2747.30,2747.30,2735.55,9197,123471,339499329.00,
500012,ANDHRA PETRO,X ,Q,55.00,56.30,51.80,52.10,52.10,54.25,763,161688,8708703.00,
500013,ANSAL INFRAS,B ,Q,6.21,6.46,6.21,6.46,6.46,6.16,32,19891,128163.00,
500014,UTIQUE      ,X ,Q,1.81,1.81,1.66,1.81,1.81,1.73,29,6520,11457.00,
500016,ARUNAHTEL   ,XT,Q,6.30,6.30,5.90,6.30,6.30,6.01,8,1398,8787.00,
500020,BOM DYEING  ,A ,Q,75.80,75.80,72.75,73.10,73.10,76.20,1839,308405,22676216.00,
500023,ASIANHOTNR  ,B ,Q,68.55,71.35,67.90,69.95,69.85,70.55,90,5618,398968.00,
500027,ATUL LTD.   ,A ,Q,6360.00,6398.90,6285.35,6297.35,6300.00,6369.40,747,1914,12110300.00,
500028,ATV PROJECTS,XT,Q,4.80,5.23,4.80,4.94,5.10,4.99,29,5942,29561.00,
500029,AUTOLITE(I) ,Z ,Q,30.00,30.60,28.60,28.80,28.70,29.95,22,2551,75254.00,
500031,BAJAJ ELECT.,A ,Q,1044.00,1089.00,1028.55,1049.85,1049.85,1022.75,7510,180674,191645993.00,
500032,BAJAJHIND   ,A ,Q,6.63,6.68,6.39,6.47,6.47,6.63,952,700389,4587969.00,
500033,FORCE MOTR  ,A ,Q,1426.00,1442.65,1404.75,1431.45,1431.45,1415.75,660,5412,7709117.00,
500034,BAJFINANCE  ,A ,Q,5530.00,5544.55,5380.00,5399.55,5399.55,5500.10,12045,99275,539856504.00,
500038,BALRAM.CHINI,A ,Q,160.40,162.00,159.20,160.05,160.05,160.40,759,42679,6850524.00,
500039,BANCO PROD. ,B ,Q,166.00,174.90,162.40,170.45,174.90,161.65,1669,112134,18806644.00,
500040,CENTURY TEXT,A ,Q,475.05,476.70,456.00,458.55,458.55,470.60,651,22467,10465114.00,
500041,BANNARI AMAN,A ,Q,1603.00,1631.00,1603.00,1622.25,1625.00,1569.40,139,543,879669.00,
500042,BASF INDIA  ,A ,Q,1650.00,1801.00,1632.20,1704.25,1704.25,1636.85,2070,24616,41353310.00,
500043,BATA INDIA  ,A ,Q,1597.00,1602.90,1569.05,1574.35,1575.00,1592.20,2098,33035,52343585.00,
500048,BEML LTD    ,A ,Q,974.45,996.00,960.10,969.15,969.15,974.40,3320,98243,95695466.00,
500049,BHARAT ELECT,A ,Q,142.00,142.00,137.00,137.90,137.90,140.75,4574,1335059,187351494.00,
500052,BHANSALI ENG,A ,Q,141.25,143.95,140.80,141.25,141.25,140.65,1558,98503,14000987.00,
500055,TATASTLBSL  ,B ,Q,44.00,45.10,43.35,43.75,43.75,44.30,1798,668081,29684539.00,
500060,BIRLACABLE  ,B ,Q,64.00,64.35,63.00,63.30,63.30,63.30,207,8228,522687.00,
500067,BLUE STAR   ,A ,Q,811.30,819.00,796.00,805.40,802.75,811.35,626,7130,5751817.00,
500068,DISA INDIA  ,X ,Q,4006.00,4025.00,3900.05,4020.85,4025.00,4048.60,47,382,1530729.00,
500069,BNK CAPITAL ,X ,Q,111.05,114.90,110.00,111.60,111.60,111.40,72,10788,1201185.00,
500074,BPL LTD.    ,B ,Q,22.80,23.15,22.40,22.55,22.55,23.00,94,5125,116571.00,
500078,OAL         ,B ,Q,600.65,600.65,580.50,585.30,584.20,597.65,403,2097,1236240.00,
500083,CENTURY EXT ,B ,Q,4.80,4.81,4.70,4.70,4.70,4.80,106,26522,125644.00,
500084,CESC LTD.   ,A ,Q,605.00,620.40,599.00,607.75,607.75,605.65,1298,26284,16050705.00,
500085,CHAMBAL FERT,A ,Q,241.10,241.10,230.25,233.90,234.50,236.40,1169,118001,27593591.00,
500086,EXIDE IND.  ,A ,Q,219.00,219.00,210.00,211.25,211.15,214.50,3980,374248,80161960.00,
500087,CIPLA LTD.  ,A ,Q,848.00,856.80,839.00,842.50,842.50,847.55,4504,167955,142257734.00,
500089,DIC INDIA   ,B ,Q,397.00,401.10,396.65,397.45,397.45,395.35,34,1506,603278.00,
500092,CRISIL LTD  ,A ,Q,1960.00,1988.00,1934.90,1948.15,1945.00,1951.20,517,2337,4590574.00,
500093,CGPOWER     ,B ,Q,46.90,46.90,46.90,46.90,46.90,44.70,218,82017,3846597.00,
500096,DABUR (I)   ,A ,Q,522.50,532.10,519.05,524.95,524.95,518.50,4321,149336,78587900.00,
500097,DALMIASUG   ,A ,Q,140.00,143.05,137.50,141.50,141.65,138.90,647,26022,3683932.00,
500101,ARVIND Ltd  ,A ,Q,53.00,59.40,53.00,57.75,57.75,53.85,4272,859129,49012204.00,
500102,BALARPUR IND,Z ,Q,1.35,1.40,1.32,1.35,1.35,1.37,394,640237,859485.00,
500103,BHEL        ,A ,Q,39.65,39.70,38.40,38.80,38.80,39.80,5914,3954778,154287321.00,
500104,HIND.PETRO  ,A ,Q,230.00,232.70,225.40,225.95,225.95,229.50,2121,255849,58699268.00,
500106,IFCI LTD    ,A ,Q,9.20,9.39,9.00,9.03,9.03,9.19,21497,593709,5456120.00,
500108,MAHA.TELE   ,B ,Q,13.20,13.26,12.93,12.96,12.96,13.30,247,77773,1016821.00,
500109,MRPL        ,A ,Q,35.10,36.10,35.05,35.20,35.45,34.95,399,99069,3506226.00,
500110,CHENNAI PET.,A ,Q,91.80,93.25,91.50,91.85,91.85,91.65,678,63216,5840836.00,
500111,REL.CAP.    ,B ,Q,10.60,10.60,10.05,10.15,10.20,10.40,765,259665,2657108.00,
500112,STATE BANK  ,A ,Q,397.40,403.45,389.10,394.70,394.70,396.85,28771,2962547,1175520766.00,
500113,STEEL AUTH. ,A ,Q,68.20,68.85,65.60,66.65,66.65,67.65,6492,3399139,228600719.00,
500114,TITAN       ,A ,Q,1557.00,1584.00,1547.80,1560.05,1560.05,1541.05,4919,122408,192447130.00,
500116,IDBI BANK L ,A ,Q,29.95,31.40,29.10,30.10,30.10,29.50,5414,2763644,83799533.00,
500117,DCW LTD.    ,B ,Q,21.95,22.85,20.40,20.75,20.75,21.80,1078,317136,6929076.00,
500119,DHAMPUR SUGA,A ,Q,170.10,170.80,169.30,169.70,169.50,170.00,328,21456,3649265.00,
500120,DIAMINES&CHM,X ,Q,318.00,329.60,316.00,317.00,317.00,317.85,574,22863,7312871.00,
500123,ELANTAS     ,A ,Q,2910.00,2939.95,2808.05,2888.35,2870.00,2901.35,80,2162,6288540.00,
500124,DR.REDDY'S  ,A ,Q,4858.00,4895.95,4806.15,4845.50,4844.40,4857.00,4740,100827,491789999.00,
500125,E.I.D.PAR   ,A ,Q,345.00,345.00,329.75,331.60,331.60,344.40,602,16025,5362819.00,
500126,PGHL        ,A ,Q,7249.00,7430.00,7184.20,7315.15,7288.00,7160.40,363,685,5017636.00,
500128,ELEC.CASTING,B ,Q,22.70,22.75,22.30,22.40,22.40,22.85,140,66109,1483386.00,
500133,ESAB INDIA  ,A ,Q,2011.75,2049.90,1980.30,1988.00,1988.25,1992.40,375,1764,3546492.00,
500135,EPL         ,A ,Q,210.00,212.75,207.00,207.70,207.70,210.90,2500,59772,12523840.00,
500136,ESTER INDUS.,B ,Q,107.00,107.00,99.20,100.40,100.20,103.15,368,18903,1915552.00,
500143,P.H.CAPITAL ,X ,Q,18.20,18.20,17.00,17.00,17.00,17.35,3,201,3646.00,
500144,FINOL. CABLE,A ,Q,373.00,375.15,365.00,372.60,369.95,368.50,213,12459,4633398.00,
500147,COCKERILL   ,X ,Q,825.80,830.05,799.80,821.05,830.05,804.80,38,1609,1315840.00,
500148,UFLEX LTD   ,A ,Q,338.00,350.00,338.00,339.05,339.20,339.15,1163,33048,11272953.00,
500150,FOSECO INDIA,B ,Q,1289.05,1295.00,1266.45,1272.10,1266.45,1295.00,89,644,823676.00,
500151,GOLDEN TOB  ,B ,Q,46.00,47.90,45.50,45.75,45.55,46.80,114,3952,184078.00,
500153,GANESH BENZO,X ,Q,62.95,63.50,60.80,61.35,61.35,61.75,307,77455,4809772.00,
500159,METROGLOBL  ,X ,Q,54.95,54.95,52.60,52.90,52.90,53.85,18,852,44997.00,
500160,GTL LTD.    ,B ,Q,7.06,7.10,6.85,6.85,6.85,6.99,96,25093,174383.00,
500163,GODFREY PH  ,A ,Q,932.00,935.65,912.05,917.00,917.00,936.90,817,7175,6623851.00,
500164,GODREJ IND  ,A ,Q,466.00,466.00,447.00,451.80,452.45,459.15,609,13058,5914051.00,
500165,KANSAI NERO ,A ,Q,589.90,597.65,583.70,588.05,585.90,588.05,1093,27511,16281131.00,
500166,GOODRICKE   ,X ,Q,264.70,265.00,258.20,261.00,261.00,259.35,218,12739,3338161.00,
500168,GOODYEAR (I),A ,Q,984.50,996.00,967.00,972.70,968.05,990.55,505,3737,3688034.00,
500170,GTN INDUS   ,B ,Q,11.37,11.37,11.37,11.37,11.37,11.85,1,14,159.00,
500171,GHCL LTD    ,A ,Q,210.60,214.45,210.30,212.50,212.50,208.95,242,11908,2521899.00,
500173,GFLLIMITED  ,A ,Q,85.70,85.80,84.45,84.80,84.75,85.90,104,4824,412245.00,
500174,GUJ.LEASE   ,B ,Q,2.78,2.86,2.59,2.64,2.71,2.84,36,10371,27436.00,
500179,HCL INFOSYS ,B ,Q,9.90,9.90,9.24,9.31,9.29,9.63,260,92085,870064.00,
500180,HDFC BANK   ,A ,Q,1604.30,1627.80,1586.90,1612.05,1612.05,1604.80,7167,256103,412987638.00,
500182,HEROMOTOCO  ,A ,Q,3485.00,3537.60,3463.35,3498.05,3498.05,3495.35,4888,42125,147991309.00,
500183,HFCL        ,A ,Q,27.50,27.60,25.90,27.10,27.10,27.40,2343,1350926,36333495.00,
500184,HSCL        ,A ,Q,49.10,49.10,47.15,47.35,47.35,48.65,1007,230825,11081919.00,
500185,HIND.CONSTN.,A ,Q,8.70,8.70,8.30,8.35,8.35,8.57,400,355859,3013437.00,
500186,HIND.OIL EXP,A ,Q,88.00,88.65,86.20,87.10,87.50,87.80,803,77618,6776583.00,
500187,HSIL        ,B ,Q,186.70,186.70,175.00,175.65,175.65,182.35,695,31332,5597621.00,
500188,HINDUS.ZI   ,A ,Q,297.30,301.80,294.00,297.25,297.25,297.05,1826,80346,23884671.00,
500189,NXTDIGITAL  ,B ,Q,533.90,533.90,510.00,518.85,520.50,523.95,45,153,79138.00,
500191,HMT LTD.    ,Z ,Q,27.10,27.10,27.10,27.10,27.10,25.85,40,12282,332842.00,
500192,PRAG BOSIMI ,XT,Q,2.00,2.18,2.00,2.00,2.00,2.10,17,6468,13187.00,
500193,HLVLTD      ,B ,Q,5.89,6.00,5.89,5.96,5.96,6.04,88,24417,145088.00,
500199,I.G.PETRO   ,B ,Q,490.00,490.00,471.20,475.85,471.20,481.15,995,13446,6438148.00,
500201,IND.GLYCOLS ,A ,Q,445.00,445.45,433.30,438.45,437.70,442.45,428,12654,5537835.00,
500202,IND.LEAS.DEV,X ,Q,10.87,10.87,10.86,10.86,10.86,10.36,2,2,21.00,
500206,MARGO FIN   ,X ,Q,7.00,7.10,7.00,7.10,7.10,7.06,4,500,3510.00,
500207,INDO RAMA   ,B ,Q,34.80,35.00,32.30,33.25,33.25,34.25,260,16039,540414.00,
500209,INFOSYS LTD ,A ,Q,1308.45,1331.85,1297.35,1305.00,1305.00,1304.35,20073,499049,657628831.00,
500210,INGERSOLL   ,A ,Q,745.65,755.20,741.40,742.95,742.00,745.20,354,1457,1088572.00,
500211,INSILCO LTD.,X ,Q,8.70,9.07,8.25,8.84,8.79,8.70,78,13436,116695.00,
500212,INTEG.FIN.SE,XT,Q,28.50,31.35,28.50,31.35,31.35,29.95,5,1180,33712.00,
500213,INTER.TRAVEL,X ,Q,56.70,58.65,55.90,56.85,57.00,58.00,52,8692,495907.00,
500214,ION EXCHANGE,A ,Q,1191.00,1230.00,1151.00,1202.15,1202.15,1190.25,850,31065,37488977.00,
500215,AGRO TECH FO,A ,Q,849.95,851.70,838.10,849.65,843.05,847.95,113,1916,1626991.00,
500219,JAIN IRRIG  ,A ,Q,21.30,21.70,20.30,20.45,20.45,21.20,552,261631,5512893.00,
500220,JASCH INDUST,X ,Q,49.00,51.75,47.10,48.15,49.00,50.55,104,30233,1461887.00,
500223,JCT LTD     ,X ,Q,0.97,0.99,0.94,0.97,0.97,0.97,321,2863018,2793213.00,
500227,JINDAL POLYF,A ,Q,499.60,500.00,485.00,486.70,486.70,492.00,482,4755,2352111.00,
500228,JSWSL       ,A ,Q,417.95,419.95,402.25,406.65,406.65,417.35,3459,258799,106850694.00,
500231,UMANG DAIR  ,B ,Q,60.15,62.50,58.50,60.75,60.50,60.70,204,17292,1054020.00,
500233,KAJARIA CER.,A ,Q,888.00,891.60,873.05,883.75,883.75,893.95,677,10010,8860388.00,
500234,KAKATIYA CEM,B ,Q,166.20,172.90,164.00,164.35,164.00,167.95,72,1147,193921.00,
500235,KALYANI STEL,A ,Q,289.60,291.00,278.80,280.70,279.85,286.55,391,14112,4042392.00,
500238,WHIRLPOOL   ,A ,Q,2398.00,2398.00,2252.10,2333.80,2355.00,2376.00,4732,32944,75725549.00,
500239,KG DENIM    ,X ,Q,29.40,30.80,28.50,28.95,28.95,28.95,78,22600,655098.00,
500240,KINETIC ENG.,XT,Q,33.00,33.05,31.00,32.60,32.80,31.70,71,11825,385650.00,
500241,KIRL.BROS.  ,B ,Q,168.50,173.95,158.00,158.80,159.10,167.30,1069,37100,6151348.00,
500243,KIRL INDUS  ,B ,Q,935.00,965.00,924.20,948.15,950.00,929.50,123,938,892126.00,
500245,KIRL.FERROUS,B ,Q,154.75,159.50,153.25,154.80,154.90,149.75,1468,59395,9289679.00,
500246,ENVAIN ELECT,X ,Q,39.05,39.05,37.50,38.30,38.80,37.20,9,505,19240.00,
500247,KOTAK MAH.BK,A ,Q,1950.00,1975.00,1938.00,1949.20,1951.10,1956.30,3111,62613,122518556.00,
500249,KSB         ,A ,Q,675.00,680.00,667.65,668.00,667.65,662.00,247,1113,748358.00,
500250,L.G.BALKRISH,A ,Q,347.90,347.90,324.70,328.70,330.00,336.90,297,7108,2357891.00,
500251,TRENT LTD.  ,A ,Q,690.05,694.00,671.35,678.00,678.00,692.75,1538,29914,20431468.00,
500252,LAXMIMACH   ,A ,Q,6250.00,6432.00,6221.00,6259.75,6252.55,6233.85,830,2892,18361430.00,
500253,LIC HOUS.FIN,A ,Q,440.00,446.00,434.60,439.10,438.80,437.00,2355,132189,58223492.00,
500257,LUPIN LTD.  ,A ,Q,1073.00,1079.45,1053.35,1058.15,1059.35,1069.65,2653,78237,83514038.00,
500259,LYKA LABS   ,T ,Q,30.35,30.50,29.30,30.50,30.50,29.05,60,7376,223585.00,
500260,RAMCOCEM    ,A ,Q,940.00,941.50,923.05,930.40,930.40,930.35,2703,232189,216225000.00,
500264,MAFATLAL IND,X ,Q,103.90,103.90,97.05,98.85,97.30,99.70,115,11908,1189469.00,
500265,MAH.SEAMLESS,A ,Q,293.70,293.70,281.50,281.90,282.75,284.20,483,4513,1275530.00,
500266,MAH.SCOOTER ,A ,Q,3949.95,3949.95,3866.00,3873.10,3879.50,3907.00,167,498,1942224.00,
500267,MAJESTIC AUT,X ,Q,114.85,114.85,107.00,111.30,111.30,112.25,128,16259,1793166.00,
500268,MANALI PETRO,B ,Q,39.15,39.35,37.45,37.85,37.70,39.10,399,74087,2843426.00,
500271,MFSL        ,A ,Q,729.00,750.10,719.00,737.90,737.90,728.75,3982,99251,72937358.00,
500277,MID INDIA IN,XT,Q,1.37,1.37,1.37,1.37,1.37,1.31,2,200,274.00,
500279,MIRC ELECT  ,B ,Q,12.60,12.65,11.90,12.60,12.60,12.05,212,167616,2112038.00,
500280,CENTURY ENKA,B ,Q,256.50,259.25,248.65,249.30,248.65,259.60,511,16260,4126016.00,
500284,LORDS CHLORO,XT,Q,33.60,33.60,31.90,31.90,31.90,33.50,10,584,19393.00,
500285,SPICEJET LTD,A ,Q,89.20,89.20,86.50,86.85,86.85,88.20,1954,238737,20899647.00,
500288,MOREPEN LAB.,A ,Q,30.15,30.15,29.00,29.25,29.25,29.55,466,125824,3714862.00,
500290,MRF LTD.    ,A ,Q,91384.00,94545.85,90400.30,93751.25,93751.25,90810.10,2001,2959,274250625.00,
500292,HEIDEL CEM  ,A ,Q,244.40,244.40,227.05,229.90,229.90,241.20,1118,42467,10025913.00,
500294,NCC         ,A ,Q,100.00,100.00,89.60,90.05,90.05,99.55,15823,1508404,142697038.00,
500295,VEDL        ,A ,Q,179.00,188.25,178.85,181.60,181.60,177.85,6425,1314270,241662081.00,
500296,NAHAR SPG.  ,B ,Q,81.60,86.35,77.50,80.05,80.05,82.05,196,14601,1163853.00,
500298,NAT.PEROXIDE,A ,Q,1961.00,1988.00,1940.00,1947.00,1947.00,1959.35,440,3451,6746591.00,
500300,GRASIM IND. ,A ,Q,1213.00,1226.00,1204.35,1218.25,1218.25,1212.45,2207,164810,200410611.00,
500302,PEL         ,A ,Q,1591.25,1606.75,1555.90,1578.25,1571.90,1591.10,2586,41767,66421265.00,
500304,NIIT LTD.   ,A ,Q,192.30,194.70,190.30,191.85,192.05,192.35,647,33749,6481839.00,
500306,JAYKAY      ,XT,Q,19.90,19.90,19.90,19.90,19.90,19.55,93,191530,3811447.00,
500307,NIRLON      ,A ,Q,280.05,290.00,275.10,289.15,288.95,285.00,71,4904,1406408.00,
500312,ONGC CORPN  ,A ,Q,100.00,103.30,99.80,101.00,101.00,99.70,26037,4721310,481805825.00,
500313,OIL COUNTRY ,T ,Q,5.51,5.51,5.51,5.51,5.51,5.79,5,2000,11020.00,
500314,ORIENT HOTEL,B ,Q,23.65,24.50,23.25,23.40,23.75,23.95,191,7342,175620.00,
500317,OSWAL AGRO. ,B ,Q,10.82,10.82,10.64,10.64,10.64,10.69,29,6376,68077.00,
500319,INDIAN SUCRO,X ,Q,24.60,25.25,23.95,24.50,24.50,25.25,27,9023,221498.00,
500325,RELIANCE    ,A ,Q,1967.70,1990.00,1952.00,1955.95,1955.95,1951.50,37702,602162,1189057236.00,
500327,PILITA      ,B ,Q,12.99,13.50,12.50,13.13,13.13,12.81,119,27303,353331.00,
500330,RAYMOND     ,A ,Q,346.00,349.90,338.40,341.25,341.25,345.35,1747,52846,18224602.00,
500331,PIDILITE    ,A ,Q,1726.00,1797.50,1726.00,1764.45,1764.45,1732.70,2927,50237,89257075.00,
500333,PIX TRANS   ,X ,Q,404.25,406.90,375.20,382.45,382.45,399.05,540,38068,14787207.00,
500335,BIRLA CORPN.,A ,Q,825.00,835.10,815.00,821.40,821.80,820.90,475,9080,7478685.00,
500336,SURYA ROSHNI,A ,Q,333.50,333.50,308.50,311.20,311.20,323.40,871,17023,5430267.00,
500337,PRIME SECUR.,B ,Q,41.80,41.80,41.05,41.05,41.05,41.80,97,2434,100332.00,
500338,PRSMJOHNSN  ,A ,Q,103.00,103.00,99.65,100.10,100.10,102.65,391,18332,1854584.00,
500339,RAIN        ,A ,Q,140.00,141.40,133.45,136.20,137.10,138.45,1382,133122,18408292.00,
500343,AMJLAND     ,B ,Q,26.90,26.90,25.15,25.90,25.55,25.80,25,1774,45933.00,
500346,PUN.COMMUNI.,B ,Q,23.20,24.95,21.30,22.70,23.40,23.20,42,2311,51509.00,
500350,RSWM  LTD   ,B ,Q,154.00,164.75,149.70,156.00,154.85,157.15,165,4709,738056.00,
500354,RAJSH.SUGAR ,B ,Q,16.10,16.30,15.95,15.95,15.95,16.10,15,1521,24617.00,
500355,RALLIS INDIA,A ,Q,271.50,273.40,267.80,269.15,268.00,271.55,1618,34552,9371888.00,
500356,RAMANEWS    ,B ,Q,14.50,14.66,14.50,14.64,14.66,14.65,18,2206,32192.00,
500357,RAMA PAPER  ,XT,Q,13.75,14.26,13.75,13.75,13.75,14.00,26,4101,56822.00,
500358,RAMA PETRO  ,X ,Q,2.15,2.15,2.15,2.15,2.15,2.23,1,200,430.00,
500360,RAPICUT CARB,X ,Q,28.90,29.50,27.45,29.25,28.35,28.00,34,2983,85727.00,
500365,WELSPLSOL   ,X ,Q,10.40,11.00,10.32,10.56,10.52,10.68,114,52739,562959.00,
500366,ROLTA (I)   ,B ,Q,4.01,4.16,4.01,4.07,4.07,4.16,4210,131441,533851.00,
500367,RUBFILA INT.,X ,Q,61.60,61.90,59.15,59.45,59.45,60.35,217,26581,1613594.00,
500368,RUCHI SOYA  ,B ,Q,688.80,720.00,688.00,704.75,704.40,688.80,1216,9828,6922042.00,
500370,SALORA INT. ,XT,Q,25.75,28.35,25.75,28.35,28.35,27.00,15,6257,174468.00,
500378,JINDAL SAW  ,A ,Q,73.70,74.30,72.80,73.05,73.05,73.30,367,44140,3245267.00,
500380,JK LAKSHMI  ,A ,Q,370.80,388.00,366.75,378.30,378.30,368.25,3738,116610,43982183.00,
