SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1516.00,1521.30,1483.50,1495.00,1486.50,1517.50,677,8209,12311931.00,
500003,AEGIS LOGIS ,A ,Q,296.00,302.00,293.50,294.55,294.55,294.75,390,8473,2518218.00,
500008,AMAR RAJA BA,A ,Q,964.35,965.00,936.80,941.45,941.45,959.75,1076,31188,29500952.00,
500009,A.SARABHAI  ,X ,Q,21.35,22.10,20.80,21.35,21.35,21.20,142,30880,665205.00,
500010,HDFC        ,A ,Q,2728.55,2768.00,2696.95,2721.25,2721.25,2707.85,11300,149634,408919261.00,
500012,ANDHRA PETRO,X ,Q,55.00,56.30,52.00,54.30,54.30,53.75,777,261151,14451056.00,
500013,ANSAL INFRAS,B ,Q,6.76,6.76,6.44,6.44,6.44,6.77,82,64738,417001.00,
500014,UTIQUE      ,X ,Q,1.82,1.89,1.82,1.82,1.82,1.80,22,11203,20389.00,
500016,ARUNAHTEL   ,XT,Q,6.00,6.30,5.90,6.00,6.00,6.00,6,403,2390.00,
500020,BOM DYEING  ,A ,Q,76.80,77.75,75.55,75.90,75.90,76.80,1696,326962,24971879.00,
500023,ASIANHOTNR  ,B ,Q,69.35,70.05,69.35,70.05,70.05,69.35,5,101,7005.00,
500027,ATUL LTD.   ,A ,Q,6568.00,6568.00,6359.25,6383.90,6395.00,6448.50,578,1287,8225863.00,
500028,ATV PROJECTS,XT,Q,5.26,5.32,4.85,5.00,5.00,5.07,40,4647,23536.00,
500029,AUTOLITE(I) ,Z ,Q,28.15,30.00,28.15,28.60,28.60,28.65,16,1441,42100.00,
500031,BAJAJ ELECT.,A ,Q,791.00,921.45,791.00,921.45,921.45,767.90,8641,231451,206864898.00,
500032,BAJAJHIND   ,A ,Q,6.79,6.79,6.60,6.62,6.62,6.65,472,438710,2922594.00,
500033,FORCE MOTR  ,A ,Q,1470.00,1470.00,1400.05,1407.65,1407.65,1435.70,811,6458,9189246.00,
500034,BAJFINANCE  ,A ,Q,5539.00,5627.00,5472.00,5538.75,5525.00,5502.00,13926,163806,908028105.00,
500038,BALRAM.CHINI,A ,Q,163.10,167.20,158.35,159.85,159.85,161.75,845,67483,11010853.00,
500039,BANCO PROD. ,B ,Q,159.90,159.90,154.70,157.40,157.40,154.50,488,27728,4352716.00,
500040,CENTURY TEXT,A ,Q,456.35,463.50,450.95,457.65,457.65,454.85,1199,40087,18323062.00,
500041,BANNARI AMAN,A ,Q,1605.00,1605.00,1543.50,1543.50,1543.50,1590.80,53,143,227023.00,
